Risk_ID,Path,Gap_Class,Threat_Scenario,Exposure_Score,Attack_Feasibility_Score,Deployment_Prevalence_Score,Evidence_Strength_Score,Likelihood_Mean,Likelihood,Confidentiality_Score,Integrity_Score,Availability_Grid_Score,Impact_Scope_Score,Impact,Overall_Risk,Matrix_Cell,External_Evidence,Scoring_Rationale
1,CSMS <-> Utility/Grid,Gap-A,Forged grid-linked charging-control command,4,4,4,4,4,High,3,5,5,5,Very High,High,High x Very High = High,E07; E08; E09; E12,Common backend-grid integration and practical command injection could affect fleet load and grid stability.
2,EVSE/CS <-> Utility/Grid,Gap-A,Manipulated demand-response or DER linkage data,4,4,4,4,4,High,2,4,4,4,High,High,High x High = High,E07; E09; E13,Grid-responsive charging is widely deployed and manipulated control data can affect site or feeder load.
3,EVSE-Internal <-> CSMS,Gap-A,Forged internal-component status reports,3,3,3,3,3,Moderate,3,3,4,3,High,Moderate,Moderate x High = Moderate,E02; E05; E10,Device-model telemetry is common but reachability and safety impact depend on charger composition and deployment.
4,CSMS <-> PKI,Gap-A,Manipulated certificate-management requests or status,2,2,2,2,2,Low,4,4,3,4,High,Moderate,Low x High = Moderate,E02,The path exists in certificate workflows but is commonly isolated behind a registration-authority or PKI service boundary.
5,SECC <-> CSMS,Gap-B,Control-message injection through the charger-internal integration path,4,4,4,3,3.75,High,3,4,4,4,High,High,High x High = High,E02; E03; E05; E10,The two functions often coexist in a charger while their internal boundary is outside both protocol standards.
6,EVSE/CS <-> Wireless,Gap-B,Man-in-the-middle on wireless backhaul or field access,5,4,4,4,4.25,High,4,4,4,4,High,High,High x High = High,E02; E05; E11,Wireless and cellular access are common and expose operational traffic when medium-specific protections are weak or misconfigured.
7,EVSE-Internal <-> Utility/Grid,Gap-B,Manipulated grid-linkage commands for internal power components,3,3,3,3,3,Moderate,2,4,4,4,High,Moderate,Moderate x High = Moderate,E07; E13; E14,BESS and power-module grid functions are credible but the direct interface depends on site architecture.
8,EVSE-Internal <-> Wireless,Gap-B,Abuse of independent wireless access to internal components,3,3,3,2,2.75,Moderate,2,4,4,3,High,Moderate,Moderate x High = Moderate,E04; E05,Independent modems and maintenance radios are deployment-dependent but can expose safety-relevant components.
9,EV-Internal <-> Wireless,Gap-B,Abuse of telematics or in-vehicle wireless interfaces,3,3,3,3,3,Moderate,4,3,3,3,High,Moderate,Moderate x High = Moderate,E04; E10,Telematics access is common but compromise of charging-relevant internal functions requires additional vehicle-specific steps.
10,EVSE/CS <-> PKI,Gap-B,Abuse of charger certificate issuance or management,3,3,3,3,3,Moderate,4,4,3,3,High,Moderate,Moderate x High = Moderate,E02,OCPP defines certificate enrollment through backend brokering but not a direct charger-to-CA security edge.
11,EVSE/CS <-> eMSP/External,Gap-B,Manipulated payment roaming or external-service data,3,3,4,3,3.25,Moderate,4,3,2,3,High,Moderate,Moderate x High = Moderate,E16; E17,Payment and roaming exchanges are common and confidentiality impact is high while direct grid impact is limited.
12,EVSE-Internal <-> PKI,Gap-B,Abuse of an internal-device certificate or security-module path,2,2,2,2,2,Low,3,4,3,2,High,Moderate,Low x High = Moderate,E02; E19,Internal metering or security modules may use certificates but topology and network reachability are product-specific.
13,EVSE-Internal <-> eMSP/External,Gap-B,Abuse of payment-terminal or settlement linkage,3,3,3,3,3,Moderate,4,3,2,3,High,Moderate,Moderate x High = Moderate,E16; E17,External payment connectivity is credible but the internal-component boundary varies by charger design.
14,EVCC <-> Utility/Grid,Gap-B,Manipulated vehicle-side grid-linkage data,2,2,2,3,2.25,Low,2,4,4,4,High,Moderate,Low x High = Moderate,E07; E08; E15,Direct EVCC-grid exchange is uncommon but bidirectional-power use cases give integrity failures a wide operational scope.
15,EV-Internal <-> PKI,Gap-B,Abuse of a vehicle security-module to PKI path,2,2,2,3,2.25,Low,4,4,2,3,High,Moderate,Low x High = Moderate,E03; E18,Certificate handling is usually mediated by EVCC or OEM services but compromise can undermine vehicle trust credentials.
16,EV-Internal <-> Utility/Grid,Gap-B,Manipulated vehicle-internal power-state or DER data,1,1,1,2,1.25,Very Low,2,4,3,3,High,Low,Very Low x High = Low,E01; E15,An independent direct edge is exceptional and normally mediated by EVCC EVSE or backend systems.
17,SECC <-> Utility/Grid,Gap-B,Manipulated SECC-based grid-linkage signal,1,1,1,2,1.25,Very Low,2,4,3,3,High,Low,Very Low x High = Low,E03; E07,The use case is conceivable in smart charging but SECC is rarely an independent utility endpoint.
18,eMSP/External <-> Utility/Grid,Gap-B,Manipulated operator-to-grid operational data,2,2,2,2,2,Low,3,3,3,3,Moderate,Low,Low x Moderate = Low,E12; E16,Direct operational exchange depends on the business role and is often mediated by an aggregator or smart-charging provider.
19,Utility/Grid <-> PKI,Gap-B,Confusion or compromise across grid-side and V2G trust infrastructures,2,2,2,2,2,Low,4,4,3,4,High,Moderate,Low x High = Moderate,E13; E20,Grid authentication infrastructure exists but a direct link to the V2G PKI is architecture-specific.
